doc_id,source_type,word_count,file_size_kb
doc_000141,web,644,9919.7
doc_000142,audio,2528,9255.7
doc_000143,audio,3533,1534.4
doc_000144,image,2240,2531.6
doc_000145,pdf,2169,3528.2
doc_000146,web,1952,8437.1
doc_000147,image,1804,6458.0
doc_000148,image,4190,4544.7
doc_000149,web,938,8802.1
doc_000150,pdf,2173,5043.3
doc_000151,audio,707,7142.3
doc_000152,audio,3803,3611.1
doc_000153,web,421,1617.8
doc_000154,audio,515,9370.9
doc_000155,web,4889,6267.4
doc_000156,web,1634,7655.9
doc_000157,web,1336,9092.0
doc_000158,audio,3008,5474.0
doc_000159,image,844,3976.9
doc_000160,audio,1036,1748.4
doc_000161,audio,2155,2183.1
doc_000162,web,2573,6583.8
doc_000163,audio,259,2564.7
doc_000164,web,3999,9961.1
doc_000165,web,1056,9505.0
doc_000166,audio,1768,1175.8
doc_000167,audio,3665,6572.5
doc_000168,web,4081,1041.3
doc_000169,pdf,3394,6329.4
doc_000170,image,802,1151.7
doc_000171,audio,1489,1793.8
doc_000172,web,4776,6883.4
doc_000173,audio,3954,6060.1
doc_000174,image,3663,9193.6
doc_000175,audio,4258,3185.0
doc_000176,image,4766,5573.1
doc_000177,pdf,2738,162.9
doc_000178,audio,2501,2218.9
doc_000179,audio,4311,9825.7
doc_000180,web,4958,1741.1
doc_000181,pdf,3761,1453.3
doc_000182,web,2203,7549.9
doc_000183,audio,3681,7398.2
doc_000184,web,2791,7227.6
doc_000185,pdf,1846,6228.8
doc_000186,pdf,1644,1030.5
doc_000187,audio,4043,1351.1
doc_000188,pdf,3662,279.5
doc_000189,audio,1082,2816.3
doc_000190,web,1138,1190.8
doc_000191,audio,1395,5019.6
doc_000192,audio,2660,1580.3
doc_000193,web,1156,3547.2
doc_000194,pdf,992,8389.0
doc_000195,pdf,1975,5287.7
doc_000196,pdf,1979,2843.4
doc_000197,image,3665,4921.0
doc_000198,audio,68,1534.7
doc_000199,pdf,2209,4390.2
doc_000200,image,4103,8062.0
doc_000201,audio,4845,172.3
doc_000202,web,1808,4470.2
doc_000203,audio,4850,1141.4
doc_000204,audio,2661,6875.8
doc_000205,web,1234,7052.4
doc_000206,image,2457,6518.6
doc_000207,pdf,343,852.4
doc_000208,pdf,4115,1735.2
doc_000209,pdf,3158,5638.6
doc_000210,web,48,4585.6
doc_000211,web,3183,419.8
doc_000212,pdf,3566,6941.6
doc_000213,audio,540,4574.7
doc_000214,audio,96,6345.2
doc_000215,pdf,2148,8021.9
doc_000216,pdf,1063,5418.1
doc_000217,web,979,6307.1
doc_000218,pdf,4289,5484.6
doc_000219,image,3449,5962.3
doc_000220,audio,1501,8510.0
doc_000221,pdf,551,7056.6
doc_000222,pdf,3724,4627.6
doc_000223,web,1313,5086.4
doc_000224,image,2569,5948.0
doc_000225,web,1784,5863.3
doc_000226,pdf,807,8634.0
doc_000227,audio,1625,7862.1
doc_000228,image,1845,5590.7
doc_000229,image,4274,2622.6
doc_000230,image,3868,7771.9
doc_000231,web,3310,9000.3
doc_000232,pdf,4303,4931.2
doc_000233,pdf,770,8193.0
doc_000234,pdf,2095,5159.8
doc_000235,image,1557,1751.6
doc_000236,image,1744,3429.7
doc_000237,audio,4853,9978.5
doc_000238,image,4631,3366.0
doc_000239,pdf,493,7225.9
doc_000240,pdf,602,8040.0
doc_000241,image,3357,6336.5
doc_000242,audio,2471,185.4
doc_000243,image,1049,5189.7
doc_000244,image,619,7486.8
doc_000245,web,432,7185.1
doc_000246,image,592,5854.1
doc_000247,pdf,4526,2324.1
doc_000248,pdf,2897,529.9
doc_000249,pdf,4845,1388.2
doc_000250,web,638,1401.6
doc_000251,web,4496,5554.7
doc_000252,image,1304,353.8
doc_000253,audio,3884,1257.6
doc_000254,image,2217,3031.0
doc_000255,web,1748,1256.0
doc_000256,image,155,3657.1
doc_000257,web,1296,6050.0
doc_000258,pdf,2340,5119.6
doc_000259,pdf,1503,7812.9
doc_000260,web,3333,9695.4
doc_000261,image,3341,7551.8
doc_000262,audio,3945,6044.2
doc_000263,pdf,1394,2066.9
doc_000264,audio,4175,3118.5
doc_000265,web,1137,33.1
doc_000266,web,4389,743.5
doc_000267,audio,547,5153.0
doc_000268,web,3296,1352.9
doc_000269,image,104,6649.2
doc_000270,image,3849,7633.0
doc_000271,image,367,5282.7
doc_000272,web,3086,2472.3
doc_000273,audio,2819,2697.0
doc_000274,pdf,1451,6813.3
doc_000275,pdf,710,9650.4
doc_000276,image,1324,4667.2
doc_000277,pdf,2972,2985.7
doc_000278,web,4746,5598.5
doc_000279,audio,3506,7335.4
doc_000280,web,4349,6794.5
doc_000281,web,4588,2704.7
doc_000282,audio,723,1631.5
doc_000283,pdf,4957,3693.7
doc_000284,audio,2947,1829.0
doc_000285,web,2820,2077.7
doc_000286,audio,687,2223.0
doc_000287,audio,4683,5265.2
doc_000288,image,2989,7863.7
doc_000289,image,3947,5084.2
doc_000290,web,2827,8270.0
doc_000291,web,3839,9697.3
doc_000292,pdf,639,6050.8
doc_000293,web,1061,5673.1
doc_000294,pdf,4423,7880.8
doc_000295,pdf,1606,6146.2
doc_000296,audio,15,3586.9
doc_000297,audio,4189,5596.6
doc_000298,web,3811,3636.5
doc_000299,image,4612,8746.8
doc_000300,image,1580,7524.4
doc_000301,pdf,2022,6929.3
doc_000302,web,2130,7519.6
doc_000303,pdf,3833,9575.0
doc_000304,audio,4008,4553.1
doc_000305,web,871,3054.6
doc_000306,web,3106,584.3
doc_000307,image,2072,7706.5
doc_000308,web,2443,7043.2
doc_000309,image,4788,9360.4
doc_000310,web,2606,1004.3
doc_000311,audio,1464,6314.4
doc_000312,pdf,46,1891.1
doc_000313,image,958,5638.2
doc_000314,image,1871,4979.9
doc_000315,web,2938,463.7
doc_000316,web,743,6225.8
doc_000317,web,3937,2139.8
doc_000318,image,3099,8166.7
doc_000319,image,710,8263.1
doc_000320,image,750,4474.1
doc_000321,web,1548,1618.8
doc_000322,web,1911,2535.5
doc_000323,audio,2848,1118.3
doc_000324,audio,577,6041.5
doc_000325,audio,2022,9987.8
doc_000326,pdf,4923,5384.6
doc_000327,web,3473,5758.7
doc_000328,web,3954,9040.2
doc_000329,image,4879,6478.6
doc_000330,audio,4726,5032.7
doc_000331,web,4187,9418.3
doc_000332,image,405,1198.0
doc_000333,web,1133,3098.0
doc_000334,web,63,4047.0
doc_000335,image,1574,6255.1
doc_000336,image,226,6820.7
doc_000337,image,294,6918.1
doc_000338,pdf,2799,2862.8
doc_000339,audio,3148,9721.0
doc_000340,audio,2185,8205.5
doc_000341,pdf,281,6784.8
doc_000342,image,3165,3372.5
doc_000343,image,1112,1960.8
doc_000344,pdf,1183,6395.1
doc_000345,web,2692,2612.5
doc_000346,pdf,2056,4544.2
doc_000347,pdf,2930,7984.0
doc_000348,web,3096,5769.3
doc_000349,audio,4350,5838.6
doc_000350,image,1555,4039.2
doc_000351,audio,2853,7875.8
doc_000352,image,201,4199.7
doc_000353,audio,491,464.9
doc_000354,pdf,3775,8439.6
doc_000355,audio,4465,4761.4
doc_000356,pdf,1832,2102.6
doc_000357,image,4972,4960.5
doc_000358,image,4768,1783.7
doc_000359,image,4679,9143.4
doc_000360,pdf,1383,5529.0
doc_000361,web,991,5916.1
doc_000362,pdf,628,8499.8
doc_000363,web,3710,8326.5
doc_000364,pdf,1382,2064.4
doc_000365,pdf,1627,4658.8
doc_000366,pdf,929,4340.9
doc_000367,pdf,2114,1323.5
doc_000368,image,3953,6011.0
doc_000369,web,4207,6357.9
doc_000370,web,774,4634.1
doc_000371,pdf,3712,693.1
doc_000372,web,2999,5150.4
doc_000373,audio,76,4730.4
doc_000374,audio,434,9764.9
doc_000375,image,562,5615.1
doc_000376,image,1769,7065.5
doc_000377,image,2828,6807.3
doc_000378,audio,4377,4500.4
doc_000379,image,1245,5359.9
doc_000380,image,4887,7127.4
doc_000381,pdf,4698,1073.0
doc_000382,image,2389,4907.1
doc_000383,audio,2739,7112.5
doc_000384,image,4213,3687.4
doc_000385,image,3118,474.6
doc_000386,pdf,141,7397.6
doc_000387,pdf,1963,7698.9
doc_000388,image,3324,3101.7
doc_000389,image,1775,2513.0
doc_000390,audio,4271,7627.8
doc_000391,web,3349,8786.9
doc_000392,web,1282,6225.9
doc_000393,image,2563,7286.0
doc_000394,web,1732,4587.8
doc_000395,web,1189,8431.2
doc_000396,web,1569,3444.9
doc_000397,audio,2973,8832.5
doc_000398,audio,2542,325.4
doc_000399,image,4436,4238.8
doc_000400,audio,4902,1338.7
doc_000401,web,2899,4719.5
doc_000402,audio,2967,6607.0
doc_000403,pdf,3842,5866.5
doc_000404,web,96,4925.4
doc_000405,web,4055,4842.2
doc_000406,image,1354,3608.3
doc_000407,image,788,3458.6
doc_000408,image,4179,8718.1
doc_000409,audio,4168,7124.0
doc_000410,image,1961,4195.5
doc_000411,image,694,7595.3
doc_000412,image,2027,3595.9
doc_000413,audio,3557,8173.7
doc_000414,pdf,3156,3904.0
doc_000415,web,4221,1261.8
doc_000416,image,1926,8537.6
doc_000417,pdf,495,5018.6
doc_000418,web,1298,9048.8
doc_000419,image,2847,7765.9
doc_000420,image,2099,4201.9
doc_000421,audio,4889,859.8
doc_000422,pdf,2564,8461.6
doc_000423,audio,2798,8100.8
doc_000424,web,3094,4992.1
doc_000425,pdf,438,9068.6
doc_000426,audio,881,2298.6
doc_000427,pdf,3033,4924.3
doc_000428,audio,4519,9551.9
doc_000429,pdf,3498,4134.5
doc_000430,pdf,226,7279.1
doc_000431,web,2872,2908.4
doc_000432,web,3397,1116.5
doc_000433,web,2290,836.1
doc_000434,pdf,3325,5110.3
doc_000435,pdf,4617,1372.0
doc_000436,web,1106,3657.6
doc_000437,image,2330,4737.0
doc_000438,web,4199,6609.1
doc_000439,audio,4358,4628.3
doc_000440,web,3024,6293.3
doc_000441,pdf,2746,3983.8
doc_000442,web,2715,727.2
doc_000443,pdf,1304,9988.2
doc_000444,web,1464,4905.8
doc_000445,web,214,1480.4
doc_000446,image,2716,6293.5
doc_000447,audio,3652,2895.2
doc_000448,image,2185,9098.4
doc_000449,pdf,2534,4356.9
doc_000450,pdf,117,4599.1
doc_000451,web,41,7656.6
doc_000452,pdf,3923,9001.1
doc_000453,web,670,7770.0
doc_000454,pdf,4666,2267.9
doc_000455,pdf,1767,6417.3
doc_000456,image,3896,799.1
doc_000457,pdf,2632,4840.4
doc_000458,audio,1732,7722.6
doc_000459,audio,4235,4638.2
doc_000460,audio,4859,9587.5
doc_000461,pdf,3963,7631.7
doc_000462,pdf,359,7440.9
doc_000463,audio,1310,6505.0
doc_000464,pdf,3908,4923.8
doc_000465,audio,3457,5758.3
doc_000466,web,2386,6151.4
doc_000467,audio,1987,8183.5
doc_000468,web,1310,7953.7
doc_000469,web,4645,3690.0
doc_000470,pdf,790,2985.0
doc_000471,image,1015,9919.7
doc_000472,image,480,414.4
doc_000473,image,3197,5824.5
doc_000474,pdf,2028,7717.1
doc_000475,pdf,508,196.4
doc_000476,web,116,5608.0
doc_000477,web,907,8735.8
doc_000478,image,1594,8410.1
doc_000479,web,3674,2548.6
doc_000480,pdf,3589,9880.4
doc_000481,web,4179,5072.1
doc_000482,pdf,3542,6480.6
doc_000483,image,4730,3633.1
doc_000484,audio,2884,5078.3
doc_000485,audio,3405,5038.7
doc_000486,pdf,197,2344.2
doc_000487,audio,4658,3247.8
doc_000488,image,3416,1572.3
doc_000489,web,3245,3235.3
doc_000490,web,1453,4431.2
doc_000491,web,668,8569.5
doc_000492,image,4833,9227.5
doc_000493,audio,4828,5708.5
doc_000494,image,3435,7529.0
doc_000495,audio,3273,5867.0
doc_000496,web,2117,3465.8
doc_000497,audio,916,1778.7
doc_000498,image,4632,8013.5
doc_000499,audio,1269,6319.5
doc_000500,web,1809,6461.0
doc_000501,web,2370,1895.3
doc_000502,pdf,25,210.6
doc_000503,pdf,3770,9097.2
doc_000504,audio,4710,6722.5
doc_000505,image,3333,7079.9
doc_000506,web,40,7673.4
doc_000507,image,4242,8147.2
doc_000508,audio,2842,879.8
doc_000509,audio,1380,4755.6
doc_000510,image,1911,9213.4
doc_000511,pdf,4594,8485.3
doc_000512,audio,3747,1670.1
doc_000513,web,2360,5451.5
doc_000514,pdf,3210,4502.5
doc_000515,audio,948,6768.4
doc_000516,pdf,1663,6392.8
doc_000517,web,4538,4378.7
doc_000518,audio,4490,870.6
doc_000519,image,3779,8907.2
doc_000520,audio,4087,8921.9
doc_000521,image,3021,3326.8
doc_000522,pdf,936,2088.3
doc_000523,image,1033,8349.4
doc_000524,image,1494,3946.4
doc_000525,audio,4457,1230.8
doc_000526,audio,1757,4981.3
doc_000527,web,126,4028.8
doc_000528,pdf,3681,3793.0
doc_000529,image,4682,8173.2
doc_000530,pdf,4295,6801.7
doc_000531,web,1742,32.8
doc_000532,pdf,3178,9828.3
doc_000533,pdf,1718,6411.2
doc_000534,audio,4195,4823.1
doc_000535,pdf,408,8663.5
doc_000536,web,4986,899.8
doc_000537,image,1899,6605.8
doc_000538,pdf,1352,3724.2
doc_000539,web,2306,6350.7
doc_000540,audio,3137,3460.6
doc_000541,image,3404,8938.1
doc_000542,web,4745,9927.1
doc_000543,pdf,3670,9359.9
doc_000544,image,1410,1720.1
doc_000545,audio,572,929.2
doc_000546,pdf,2489,4497.4
doc_000547,pdf,204,1203.0
doc_000548,pdf,2325,776.6
doc_000549,audio,1242,998.6
doc_000550,image,3236,6263.2
doc_000551,web,4412,8465.0
doc_000552,pdf,4453,367.5
doc_000553,pdf,2956,2009.7
doc_000554,pdf,48,2734.9
doc_000555,pdf,1810,4449.2
doc_000556,image,3577,1458.0
doc_000557,web,3184,4633.4
doc_000558,audio,4977,3215.7
doc_000559,audio,2083,1109.8
doc_000560,image,1055,2039.5
doc_000561,pdf,251,2414.2
doc_000562,image,2678,7278.7
doc_000563,image,3994,4818.6
doc_000564,image,586,5016.7
doc_000565,web,4498,5664.6
doc_000566,web,3005,3797.9
doc_000567,image,3839,384.3
doc_000568,image,3337,876.3
doc_000569,web,1810,5414.1
doc_000570,image,1941,5742.9
doc_000571,web,3248,1047.6
doc_000572,web,4820,2734.2
doc_000573,audio,4978,7122.2
doc_000574,audio,2203,3372.5
doc_000575,web,243,1104.6
doc_000576,image,2038,1880.9
doc_000577,image,2281,165.0
doc_000578,image,1119,597.8
doc_000579,audio,2263,34.6
doc_000580,pdf,3797,7342.9
doc_000581,web,4174,644.5
doc_000582,pdf,1122,4775.2
doc_000583,pdf,1310,4148.3
doc_000584,image,4782,2711.4
doc_000585,pdf,3892,123.3
doc_000586,image,766,8229.3
doc_000587,pdf,3603,8926.0
doc_000588,web,301,4756.1
doc_000589,audio,1701,2080.8
doc_000590,audio,3796,1559.8
doc_000591,image,2035,6527.9
doc_000592,pdf,3511,8298.6
doc_000593,pdf,1175,5933.9
doc_000594,pdf,1614,9614.3
doc_000595,pdf,2168,4949.2
doc_000596,pdf,3373,4872.0
doc_000597,web,2704,9962.5
doc_000598,audio,509,922.1
doc_000599,image,2302,5132.3
doc_000600,pdf,4714,3371.4
doc_000601,audio,1808,6286.1
doc_000602,web,2454,6076.6
doc_000603,web,1625,4085.0
doc_000604,web,1819,6668.0
doc_000605,web,2218,5019.0
doc_000606,pdf,1594,3698.9
doc_000607,audio,1895,2259.3
doc_000608,image,3489,1441.4
doc_000609,pdf,2180,1226.0
doc_000610,web,4247,5927.4
doc_000611,web,1600,1072.7
doc_000612,web,4033,1555.1
doc_000613,web,201,4670.6
doc_000614,pdf,485,7267.0
doc_000615,audio,19,8279.4
doc_000616,image,4416,3350.4
doc_000617,audio,425,6067.0
doc_000618,audio,631,7240.8
doc_000619,image,4889,1770.9
doc_000620,web,3457,6920.7
doc_000621,web,3407,5962.6
doc_000622,pdf,4830,5581.1
doc_000623,pdf,2358,1670.0
doc_000624,audio,660,9896.1
doc_000625,image,2562,101.3
doc_000626,image,4715,912.2
doc_000627,pdf,3384,1897.6
doc_000628,web,1513,3527.8
doc_000629,pdf,4701,4298.8
doc_000630,audio,4795,9538.1
doc_000631,pdf,3874,1984.1
doc_000632,web,2468,872.6
doc_000633,image,1283,8310.7
doc_000634,audio,1595,7380.6
doc_000635,web,2771,9653.1
doc_000636,audio,2851,8031.7
doc_000637,image,3844,1201.1
doc_000638,pdf,2908,2772.0
doc_000639,pdf,3891,2818.6
doc_000640,image,4235,3332.7
doc_000641,pdf,3950,7094.4
doc_000642,pdf,2252,1558.2
doc_000643,audio,2965,3702.8
doc_000644,pdf,2481,8916.6
doc_000645,pdf,2289,3364.0
doc_000646,image,4803,3941.3
doc_000647,web,851,4772.0
doc_000648,image,4253,9435.5
doc_000649,image,4025,3562.9
doc_000650,image,1891,2783.3
doc_000651,image,741,7556.1
doc_000652,web,641,86.3
doc_000653,image,4642,5136.7
doc_000654,audio,878,984.6
doc_000655,pdf,3051,6919.9
doc_000656,audio,1014,8751.5
doc_000657,pdf,3028,3305.9
doc_000658,web,3369,9567.6
doc_000659,web,3846,5590.9
doc_000660,image,4904,2950.4
doc_000661,web,4324,6322.8
doc_000662,pdf,2776,5709.6
doc_000663,web,626,9361.3
doc_000664,audio,2670,9520.4
doc_000665,pdf,4320,8322.8
doc_000666,web,726,1558.7
doc_000667,web,274,9716.5
doc_000668,web,3727,9603.5
doc_000669,pdf,1626,7219.8
doc_000670,image,4425,6290.0
doc_000671,web,900,9725.8
doc_000672,web,549,7535.7
doc_000673,audio,4626,8830.5
doc_000674,image,2095,1384.1
doc_000675,web,3872,233.9
doc_000676,web,1035,1413.3
doc_000677,image,4795,1363.1
doc_000678,image,3260,2782.2
doc_000679,pdf,3521,5464.3
doc_000680,pdf,1191,6828.9
doc_000681,web,4087,7172.0
doc_000682,audio,4492,9404.4
doc_000683,pdf,4444,7714.8
doc_000684,pdf,2965,76.6
doc_000685,web,2011,9082.3
doc_000686,audio,3974,6986.5
doc_000687,image,3222,6909.8
doc_000688,audio,3032,3232.7
doc_000689,web,4194,5791.4
doc_000690,audio,1695,6291.6
doc_000691,web,1181,5558.8
doc_000692,web,1318,3607.6
doc_000693,pdf,3454,5382.1
doc_000694,web,568,1946.1
doc_000695,audio,80,6719.3
doc_000696,audio,3652,5371.3
doc_000697,pdf,2462,4949.7
doc_000698,web,221,9645.5
doc_000699,audio,3111,9512.7
doc_000700,image,1002,7636.7
doc_000701,pdf,2697,3391.1
doc_000702,web,1591,7099.9
doc_000703,image,2650,4887.1
doc_000704,audio,198,378.3
doc_000705,image,3237,8077.9
doc_000706,image,3030,8215.1
doc_000707,pdf,2938,1523.8
doc_000708,image,1474,1882.9
doc_000709,image,2465,5065.2
doc_000710,web,435,1218.5
doc_000711,image,4792,1528.6
doc_000712,web,4914,9736.8
doc_000713,audio,2403,5315.2
doc_000714,pdf,3286,882.8
doc_000715,image,2638,265.1
doc_000716,image,1465,5331.3
doc_000717,web,4385,7040.4
doc_000718,web,2888,241.1
doc_000719,pdf,3990,2814.7
doc_000720,image,449,3091.4
doc_000721,audio,1312,97.4
doc_000722,pdf,1856,7645.5
doc_000723,image,84,8348.5
doc_000724,audio,3005,151.2
doc_000725,image,1561,4603.9
doc_000726,audio,4097,8811.9
doc_000727,image,1124,6989.2
doc_000728,web,2752,2012.2
doc_000729,audio,2608,2885.2
doc_000730,web,958,6557.5
doc_000731,image,4533,6655.4
doc_000732,audio,2636,9813.6
doc_000733,web,3280,9316.9
doc_000734,audio,4419,5496.3
doc_000735,audio,3706,978.1
doc_000736,audio,1833,7415.7
doc_000737,pdf,1911,9811.8
doc_000738,web,2676,5647.0
doc_000739,audio,255,8669.7
doc_000740,audio,3049,2650.5
doc_000741,web,4337,4260.0
doc_000742,audio,4957,1905.0
doc_000743,audio,2956,5050.6
doc_000744,pdf,3273,4530.9
doc_000745,image,4571,2748.5
doc_000746,pdf,1249,251.6
doc_000747,web,4389,9961.5
doc_000748,audio,2094,2331.4
doc_000749,pdf,4795,8520.8
doc_000750,pdf,4818,6065.2
doc_000751,audio,123,329.5
doc_000752,web,1509,9188.2
doc_000753,image,2418,5994.9
doc_000754,web,2031,2683.1
doc_000755,audio,3852,5952.3
doc_000756,audio,3609,1006.3
doc_000757,image,1695,3596.4
doc_000758,image,1985,3797.1
doc_000759,audio,439,7780.2
doc_000760,web,3310,1668.0
doc_000761,image,3583,736.9
doc_000762,audio,2576,430.2
doc_000763,image,1101,6466.6
doc_000764,web,2554,1846.9
doc_000765,audio,4605,3797.1
doc_000766,web,4195,5506.1
doc_000767,pdf,2942,7298.6
doc_000768,image,1090,894.0
doc_000769,image,2563,1025.7
doc_000770,audio,3019,4202.6
doc_000771,audio,4576,5878.2
doc_000772,pdf,2853,967.1
doc_000773,audio,4202,6169.9
doc_000774,image,817,9489.4
doc_000775,web,769,2337.2
doc_000776,audio,69,2286.5
doc_000777,pdf,3755,7468.0
doc_000778,web,1700,7721.4
doc_000779,image,3945,7603.0
doc_000780,audio,3368,3450.3
doc_000781,pdf,3748,1508.7
doc_000782,audio,3892,2937.4
doc_000783,image,4941,5401.6
doc_000784,audio,37,992.6
doc_000785,image,3757,6947.1
doc_000786,pdf,41,3405.4
doc_000787,pdf,2248,3925.3
doc_000788,image,3161,9748.6
doc_000789,pdf,4997,4655.9
doc_000790,audio,2053,1584.9
doc_000791,pdf,1444,2511.4
doc_000792,web,1381,2424.5
doc_000793,image,4356,2553.0
doc_000794,audio,2490,1144.2
doc_000795,pdf,4807,5901.5
doc_000796,audio,2722,1511.2
doc_000797,web,4617,8548.1
doc_000798,pdf,440,4713.5
doc_000799,pdf,3935,6336.4
doc_000800,image,959,5809.9
doc_000801,pdf,4658,5623.1
doc_000802,image,3527,4904.7
doc_000803,pdf,3128,1937.4
doc_000804,audio,453,574.0
doc_000805,web,2399,8164.8
doc_000806,web,3983,4029.7
doc_000807,pdf,3926,4217.6
doc_000808,audio,4607,1279.2
doc_000809,image,4685,7878.5
doc_000810,web,4089,1434.2
doc_000811,web,3346,1187.5
doc_000812,pdf,3524,6117.8
doc_000813,audio,1412,4205.4
doc_000814,pdf,1534,7493.6
doc_000815,audio,1270,5099.5
doc_000816,pdf,4990,608.7
doc_000817,web,3532,592.5
doc_000818,audio,2116,5466.6
doc_000819,audio,1177,7974.4
doc_000820,pdf,576,1180.5
doc_000821,pdf,3716,9862.9
doc_000822,audio,190,1859.1
doc_000823,image,4092,6171.0
doc_000824,web,4900,3826.3
doc_000825,image,3364,2626.8
doc_000826,image,626,8783.7
doc_000827,image,1212,8352.2
doc_000828,pdf,2074,9414.0
doc_000829,audio,1854,8032.9
doc_000830,image,1896,9211.1
doc_000831,image,2462,866.0
doc_000832,web,207,3426.3
doc_000833,web,3267,3573.5
doc_000834,image,340,506.3
doc_000835,web,630,4935.7
doc_000836,image,3794,1136.0
doc_000837,web,4926,3958.8
doc_000838,audio,3768,879.4
doc_000839,pdf,4749,4314.5
doc_000840,audio,508,8259.7
doc_000841,image,4187,7132.7
doc_000842,image,3664,5198.3
doc_000843,image,4546,1411.8
doc_000844,image,57,153.6
doc_000845,audio,3716,1030.3
doc_000846,pdf,3093,5697.3
doc_000847,image,3995,5775.8
